run_accession	sample_name
ERR1368879	1939.100001
ERR1368882	1939.100015
ERR1368883	1939.100016
ERR1368888	1939.100049
ERR1368891	1939.100058
ERR1368893	1939.100062
ERR1368900	1939.100075
ERR1368901	1939.100077
ERR1368908	1939.100088
ERR1368910	1939.100090
ERR1368911	1939.100091
ERR1368931	1939.100163
ERR1368933	1939.100177
ERR1368934	1939.100178
ERR1368939	1939.100187
ERR1368944	1939.100195
ERR1368945	1939.100196
ERR1368947	1939.100198
ERR1368950	1939.100204
ERR1368953	1939.100207
ERR1368966	1939.100227
ERR1368969	1939.100234
ERR1368970	1939.120153
ERR1368971	1939.120155
ERR1368972	1939.120156
ERR1368974	1939.121154
ERR1368978	1939.121183
ERR1368979	1939.121185
ERR1368980	1939.121186
ERR1368981	1939.121187
ERR1368983	1939.121189
ERR1368984	1939.121190
ERR1368988	1939.121194
ERR1368989	1939.121195
ERR1368991	1939.121197
ERR1368992	1939.121198
ERR1368997	1939.121213
ERR1368998	1939.121214
ERR1368999	1939.121215
ERR1369000	1939.121216
ERR1369002	1939.121218
ERR1369004	1939.121279
ERR1369005	1939.121280
ERR1369011	1939.121307
ERR1369021	1939.121387
ERR1369022	1939.121388
ERR1369024	1939.121390
ERR1369025	1939.121398
ERR1369027	1939.121401
ERR1369028	1939.121402
ERR1369034	1939.121422
ERR1369036	1939.121444
ERR1369042	1939.121450
ERR1369045	1939.121454
ERR1369049	1939.121461
ERR1369053	1939.121466
ERR1369060	1939.121474
ERR1369061	1939.121475
ERR1369067	1939.121482
ERR1369068	1939.121488
ERR1369069	1939.121492
ERR1369070	1939.121493
ERR1369072	1939.121496
ERR1369073	1939.121497
ERR1369076	1939.121500
ERR1369079	1939.121503
ERR1369081	1939.121952.b
ERR1369083	1939.121953.b
ERR1369086	1939.121959.a
ERR1369088	1939.121968.a
ERR1369094	1939.121978
ERR1369097	1939.121980.b
ERR1369101	1939.122001
ERR1369103	1939.122004.b
ERR1369106	1939.122009.a
ERR1369110	1939.122011
ERR1369111	1939.122032
ERR1369113	1939.122034.a
ERR1369117	1939.122039.a
ERR1369119	1939.122049
ERR1369120	1939.122050
ERR1369122	1939.122053.b
ERR1369126	1939.122059
ERR1369128	1939.122061.a
ERR1369130	1939.122062
ERR1369137	1939.122078
ERR1369142	1939.122098.a
ERR1369143	1939.122098.b
ERR1369144	1939.122099.a
ERR1369148	1939.122101
ERR1369155	1939.122117.a
ERR1369160	1939.122163.b
ERR1369161	1939.122164.a
ERR1369162	1939.122164.b
ERR1369164	1939.MGH100525
ERR1369166	1939.MGH100601.b
ERR1369167	1939.MGH100695.a
ERR1369172	1939.MGH100896.a
ERR1369183	1939.MGH101666
ERR1369186	1939.MGH101763
ERR1369190	1939.MGH102271
ERR1369202	1939.MGH103446
ERR1369204	1939.MGH103547
ERR1369206	1939.MGH103687
ERR1369207	1939.MGH103728
ERR1369208	1939.MGH103785
ERR1369209	1939.MGH103891
ERR1369213	1939.MGH104316.a
ERR1369215	1939.MGH104413
ERR1369216	1939.MGH104421
ERR1369217	1939.MGH104519
ERR1369221	1939.MGH104690
ERR1369224	1939.MGH104884
ERR1369232	1939.MGH105450
ERR1369235	1939.MGH105658
ERR1369237	1939.MGH105700
ERR1369238	1939.MGH105841
ERR1369242	1939.MGH106288
ERR1369247	1939.MGH109682
ERR1369252	1939.MGH112053
ERR1369258	1939.MGH113669.a
ERR1369263	1939.SKBTI.0098.b
ERR1369264	1939.SKBTI.0099
ERR1369265	1939.SKBTI.0100
ERR1369276	1939.SKBTI.0112.b
ERR1369283	1939.SKBTI.0118
ERR1369285	1939.SKBTI.0120
ERR1369287	1939.SKBTI.0122.a
ERR1369289	1939.SKBTI.0123
ERR1369293	1939.SKBTI.0127
ERR1369297	1939.SKBTI.0131
ERR1369303	1939.SKBTI.0136.a
ERR1369306	1939.SKBTI.0138
ERR1369307	1939.SKBTI.0139
ERR1369311	1939.SKBTI.0142
ERR1369312	1939.SKBTI.0143.a
ERR1369317	1939.SKBTI.0147
ERR1369320	1939.SKBTI.0150.a
ERR1369323	1939.SKBTI.0152
ERR1369326	1939.SKBTI.0154.b
ERR1369330	1939.SKBTI.0157.b
ERR1369338	1939.SKBTI.0165
ERR1369340	1939.SKBTI.0168
ERR1369343	1939.SKBTI.0171
ERR1369349	1939.SKBTI.0175
ERR1369350	1939.SKBTI.0176
ERR1369355	1939.SKBTI.0180
ERR1369358	1939.SKBTI.0183
ERR1369360	1939.SKBTI.0186
ERR1369362	1939.SKBTI.0188
ERR1369364	1939.SKBTI.0190
ERR1369366	1939.SKBTI.0192
ERR1369371	1939.SKBTI.0197
ERR1369379	1939.SKBTI.0204.a
ERR1369381	1939.SKBTI.0205
ERR1369384	1939.SKBTI.0208
ERR1369386	1939.SKBTI.0209.b
ERR1369394	1939.SKBTI.0215
ERR1369406	1939.SKBTI.0226.b
ERR1369407	1939.SKBTI.0227.a
ERR1369411	1939.SKBTI.0229
ERR1369412	1939.SKBTI.0230.a
ERR1369416	1939.SKBTI.0233
ERR1369424	1939.SKBTI.0241
ERR1369428	1939.SKBTI.0244.b
ERR1369435	1939.SKBTI.0249
ERR1369437	1939.SKBTI.0250.b
ERR1369438	1939.SKBTI.0251
ERR1369442	1939.SKBTI.0254.a
ERR1369445	1939.SKBTI.0255.b
ERR1369446	1939.SKBTI.0256.a
ERR1369450	1939.SKBTI.0259
ERR1369470	1939.SKBTI.0273
ERR1369472	1939.SKBTI.0274.b
ERR1369473	1939.SKBTI.0275.a
ERR1369474	1939.SKBTI.0275.b
ERR1369479	1939.SKBTI.0279
ERR1369484	1939.SKBTI.0283
ERR1369500	1939.SKBTI.0411
ERR1369512	1939.SKBTI.0489
ERR1369519	1939.SKBTI.0496
ERR1369525	1939.SKBTI.0504
ERR1369540	1939.SKBTI.0520
ERR1369545	1939.SKBTI.0525
ERR1369560	1939.SKBTI.0541
ERR1369569	1939.SKBTI.0550
